Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs MCI,50,After Scaling,SVM (Linear),0.7108433734939759,0.0452810131878702,0.6546195696164074,0.7670671773715443,0.7685765599379215,0.0240563577474045,0.7387066465950589,0.7984464732807841,0.6387313233214872,0.0335234368516434,0.5971064786867442,0.6803561679562302,0.7606909502858229,0.0706948067301078,0.6729117539090747,0.8484701466625711,0.6338746991415374,0.0553087214411566,0.5651998509413725,0.7025495473417023,41.6,76.4,24.4,23.6
NC vs MCI,50,After Scaling,SVM (RBF),0.7096385542168674,0.0328299435986475,0.6688747951873666,0.7504023132463682,0.7725673051734192,0.0270037592061676,0.7390377095509574,0.806096900795881,0.6514971913332569,0.026432827612968,0.618676500915508,0.6843178817510058,0.7509005657853219,0.0629540184228835,0.6727328275673707,0.8290683040032731,0.6371252040882223,0.0427901776620701,0.5839941810084868,0.6902562271679578,42.4,75.4,25.4,22.8
NC vs MCI,50,After Scaling,SVM (Poly d2),0.6445783132530121,0.0602409638554216,0.5697792772166406,0.7193773492893836,0.6655941582265823,0.0525986957248612,0.6002842513925477,0.7309040650606169,0.4675907334923728,0.0848865439314964,0.3621901679606913,0.5729912990240544,0.7611667957125612,0.0339781741019075,0.718977320205523,0.8033562712195994,0.5066297643282478,0.0731339926290271,0.4158219186358852,0.5974376100206105,30.2,76.8,24.0,35.0
NC vs MCI,50,After Scaling,SVM (Sigmoid),0.7048192771084338,0.0446758945005762,0.6493468273195186,0.760291726897349,0.763445407997118,0.0230017249020192,0.7348849942896937,0.7920058217045424,0.6566919965280621,0.0252405369544038,0.6253517304964471,0.6880322625596771,0.737254370542535,0.0614991444781125,0.6608930969237305,0.8136156441613394,0.6357667112337742,0.0487685380516739,0.5752125732899801,0.6963208491775682,42.8,74.2,26.6,22.4
NC vs AD,50,Before Scaling,LR (L1),0.811158591955558,0.0320157420784389,0.7714057976409829,0.850911386270133,0.8669239850007923,0.0314070249984627,0.8279270127695154,0.9059209572320692,0.7762105780398463,0.0339527508266139,0.7340526696984566,0.8183684863812359,0.8470514511790282,0.0502236848328939,0.7846905098648912,0.9094123924931652,0.7970998780912575,0.0335926889987478,0.7553890455586565,0.8388107106238585,72.0,85.2,15.6,21.0
NC vs AD,50,Before Scaling,LR (L2),0.8008012392500401,0.0304080388420976,0.7630446721638257,0.8385578063362545,0.8596339450810918,0.0252723883889943,0.8282541302698546,0.891013759892329,0.7710488698293576,0.0423258489441394,0.7184943870020088,0.8236033526567064,0.8333076542198938,0.0634156167811591,0.754566765938842,0.9120485425009456,0.7875133675722777,0.026546592575117,0.7545514192967714,0.8204753158477841,71.4,83.8,17.0,21.6
NC vs AD,50,Before Scaling,LR (ElasticNet),0.8101062977405054,0.0317024507029734,0.7707425060477935,0.8494700894332172,0.8635163106952259,0.0302310259676702,0.8259795341224067,0.9010530872680452,0.7809389797194676,0.0349352377314204,0.7375611527596729,0.8243168066792622,0.8407463860818284,0.0542483350353238,0.7733881815059708,0.908104590657686,0.797454448385996,0.0303807430210262,0.7597317735381074,0.8351771232338846,72.4,84.6,16.2,20.6
NC vs AD,50,Before Scaling,SVM (Linear),0.8059345120452968,0.0429590301756982,0.7525938308783829,0.8592751932122106,0.858536318921745,0.0238993374352422,0.8288613720474811,0.8882112657960088,0.7633654962923255,0.0350055806198758,0.7199003271004062,0.8068306654842449,0.8464764960927826,0.0807604121048596,0.7461991999020787,0.9467537922834866,0.7911885578652023,0.0358507424078533,0.7466739817084938,0.8357031340219108,70.8,85.4,15.4,22.2
NC vs AD,50,Before Scaling,SVM (RBF),0.8431280380321564,0.0293579851287168,0.8066752848380271,0.8795807912262857,0.8923703630490103,0.0278455706811934,0.8577955204247341,0.9269452056732864,0.8096846243187708,0.0459619482869874,0.7526153278435151,0.8667539207940264,0.8780579797098287,0.0406863554808843,0.8275391968910941,0.9285767625285632,0.831735919549873,0.0273306115993485,0.7978004830780716,0.8656713560216744,75.0,88.4,12.4,18.0
NC vs AD,50,Before Scaling,SVM (Poly d2),0.5489503765824475,0.0518337201759155,0.4845903123470449,0.61331044081785,0.746928882849274,0.0420861437800947,0.6946720332943029,0.799185732404245,0.0736420083981059,0.0239602016641969,0.0438914886019706,0.1033925281942412,0.9887193362193362,0.0149099241346446,0.9702062202053984,1.0072324522332738,0.1345947191210348,0.0414418235604421,0.0831378987861213,0.1860515394559484,6.8,99.6,1.2,86.2
